product_id,name,category,price
2001,Aurora Wireless Earbuds,Electronics,79.99
2002,Summit Noise-Canceling Headphones,Electronics,149.5
2003,Cascade Smartwatch,Wearables,199.0
2004,Grove Fitness Tracker,Wearables,89.0
2005,Horizon 4K Monitor,Electronics,329.99
2006,Lumen Portable Speaker,Electronics,59.99
2007,Aspen Yoga Mat,Sports,35.0
2008,Velo Running Shoes,Sports,120.0
2009,Nordic Hiking Backpack,Outdoors,140.0
2010,Harbor Insulated Bottle,Outdoors,28.0
2011,Quartz Chef Knife,Home & Kitchen,52.0
2012,Mesa Cast Iron Skillet,Home & Kitchen,64.0
2013,Atlas Drip Coffee Maker,Home & Kitchen,110.0
2014,Cinder Ceramic Mug Set,Home & Kitchen,32.0
2015,Nova Desk Lamp,Home Office,45.0
2016,Pinnacle Standing Desk,Home Office,420.0
2017,Orbit Ergonomic Chair,Home Office,260.0
2018,Delta Mechanical Keyboard,Home Office,130.0
2019,Sierra Wireless Mouse,Home Office,38.0
2020,Terra Linen Duvet,Home & Living,185.0
2021,Solstice Table Lamp,Home & Living,72.0
2022,Marble Planter Duo,Home & Living,48.0
2023,Everest Camping Stove,Outdoors,95.0
2024,Trail Compact Tent,Outdoors,215.0
2025,Pulse Jump Rope,Sports,18.0
2026,Zephyr Cycling Helmet,Sports,84.0
2027,Nimbus Travel Organizer,Travel,42.0
2028,Drift Carry-On Luggage,Travel,175.0
2029,Boreal Fleece Hoodie,Apparel,68.0
2030,Vertex Performance Tee,Apparel,36.0
